# start: 1905 10, end: 2006 12, frequency: 12
BlueMesa	Crystal	Navajo	Fontenelle	FlamingGorge	LeesFerry
27500	31600	9792	45000	41917	327692
19100	26860	9204	37000	27859	238872
19500	31330	11965	35000	26603	313145
20400	30250	17488	31000	42854	337745
26700	39900	34079	43000	80632	517660
44500	54870	74065	70000	114440	639473
180618	230768	220254	90000	162780	2123875
358035	424015	334514	404700	644241	5021980
126855	132435	84812	224500	300602	1742269
137585	145205	140408	170700	189556	1468908
33970	37410	12210	104700	107595	424710
31614	39564	10402	73000	74390	443620
24900	36780	13850	47000	48455	385800
14400	31390	8327	40000	30375	320747
16500	35150	23089	34000	28637	391523
18500	27500	17251	21000	27690	352823
13900	32540	47295	37000	93810	571807
118326	155376	210018	176000	299571	1972984
278091	334831	320851	291400	453410	3869865
229834	256474	244222	300200	425742	3004303
167313	185223	155227	200500	268269	2035789
83801	95551	68445	113800	145876	892706
38236	48446	68308	42500	43427	607745
66107	82057	71638	39000	8685	675186
29300	48170	43028	32000	36083	513856
22100	36530	28412	25000	15989	383572
19100	36340	16254	23000	34406	382737
15000	29490	16630	26000	38658	361005
24900	40720	22937	29000	54227	447329
70900	92470	51961	40000	87053	615374
455608	564138	238445	118600	233059	3630445
330145	410585	165545	339200	554476	4189472
164768	192118	72075	190800	271925	2096715
96482	112992	50281	76300	105922	917019
110412	130572	218651	42100	64806	1131553
56583	76863	39574	37000	91207	649771
39000	58500	27562	39000	54460	515681
23200	46550	14883	28000	31347	407035
33937	49477	27155	32361	69106	492528
28638	50254	36112	32976	68269	493631
55334	83546	54102	46842	108485	610939
109721	144042	95124	90333	207844	1348676
161512	214393	111334	269641	493775	2485956
298990	364332	138734	644131	887275	4456478
146125	169864	35287	326265	438496	2247437
77250	84472	27663	147885	190550	955058
52530	61312	12511	76989	93233	690356
42531	50947	51288	63846	90899	661425
37217	47613	34911	50618	77322	550317
31289	43008	35492	36154	50651	479069
29253	42189	27969	38851	63413	503244
23312	39449	31286	41083	80243	468726
54706	68185	71733	88605	191888	823089
68136	84018	84991	121742	220010	827861
153701	178352	129595	312234	472209	1964180
225963	255239	94214	776586	1021617	3826860
65904	71918	7390	285195	357829	1236754
40650	41702	3749	150603	192540	709418
31475	37845	14958	82700	101200	585772
42982	51212	176348	66924	91074	1119913
32609	42903	67026	51547	73691	670469
30211	38308	39701	39509	60518	455394
24263	31528	36288	36094	64897	442469
21177	26171	40286	29750	59585	462415
29124	37600	115622	36735	95391	852581
44513	62833	231403	97474	262615	1364516
228625	307807	544793	210173	426549	4459046
345966	438839	513443	260919	418717	4948909
190003	223017	219936	184722	331041	2925435
77587	88254	55819	107130	177202	1048535
37252	41850	43953	84931	148867	694581
27654	32960	32052	51088	75100	468110
22493	34212	24733	52088	72760	517512
25007	36258	23671	37356	55072	440366
27608	41537	24542	35445	52994	462022
21022	36156	18272	33295	56512	405270
38903	58791	67316	61075	148111	789041
67086	92840	72828	107612	185423	943226
248648	324024	161127	240649	427835	3365644
188481	236573	58919	533439	674883	3379006
74097	83465	34591	252063	320724	1591696
52169	54749	21638	119932	152486	763938
17701	17648	1859	48803	61781	389126
24105	29670	25820	35457	45103	417466
27511	39270	25350	34604	42298	509247
21868	34790	12071	21210	22318	345153
23345	34798	12265	24599	38474	428239
19611	26891	15086	25586	41359	376537
25023	34726	68559	38766	75478	626462
56284	74016	205113	59997	100360	875310
198083	258960	389502	149898	299008	2723123
360474	438170	480550	347420	623628	5051904
264663	314894	259464	499640	727742	4055375
84659	92547	33413	138695	193357	1074103
32697	35585	30041	57290	78068	551744
25916	33087	8739	48620	62442	411021
29228	35829	17945	44255	53049	448760
25455	35005	21097	44341	55631	424498
24668	39566	19218	31335	44475	398290
21588	36238	32549	30214	59000	474438
27443	38887	52213	38804	95316	550019
68564	84267	104105	131683	199768	848771
159319	193334	253788	330768	459895	2446752
193826	222295	209294	401719	493770	2835958
77740	84319	32574	261087	297327	1342352
57843	62917	17463	148343	188992	778842
31618	32363	31328	63571	88504	507722
30158	36518	25505	45464	54149	445702
22275	30609	11244	36487	39667	373209
15201	24372	11463	27562	28291	281534
12804	22716	13899	25627	28705	323375
16112	20777	12287	22813	38680	291707
19973	22613	14867	31764	51267	276473
43655	53776	29762	47123	82824	367463
49967	60673	34057	23571	50651	631570
58687	67330	18937	108811	131703	975157
30568	35997	23040	68011	102825	683523
28103	31930	40272	56217	87943	590807
17063	20954	18397	38150	50553	380881
20718	26511	19338	31343	47194	326662
21690	28018	13843	30672	41556	341836
20278	25195	7952	32167	35500	315863
22541	28988	10727	28280	44682	375621
13908	23097	10214	26070	45125	307540
30366	41935	63979	48395	104466	615243
81962	109369	140291	97289	156626	1237984
191967	248785	226790	187369	305905	2747845
402551	494320	259145	516667	706446	5036130
165336	199303	35183	390223	433830	2569275
55662	61478	-12874	160490	196686	825861
17965	21009	-10579	73945	93747	426775
21278	22292	4349	45782	52435	351290
26308	27063	27582	37825	42074	480893
23264	25133	20727	33515	32298	403397
26124	29582	19241	29868	34931	388600
22120	33856	20788	28210	39772	360071
25683	40797	117739	41129	91597	748376
84806	116167	366978	89929	147555	1819789
278685	345161	548248	199274	290705	4015523
406005	488095	573735	247404	317920	5256190
196474	217847	263753	137859	172501	2695162
79243	84237	50804	106898	149442	1082709
29227	29604	-8121	47058	62191	433006
27686	27799	-207	37561	46456	370876
27783	32917	14893	27700	34399	406702
25378	32989	21611	25635	38217	360420
25524	35550	26534	25804	50453	476703
26030	36643	45217	27037	55221	610714
27322	37969	63235	31394	98410	643116
81125	102385	263263	104378	238304	1434190
284633	339125	380867	321161	531231	4365112
462033	525446	476085	381122	512577	5379732
160570	176817	95936	253643	327410	2271497
57240	60394	9881	98771	135871	750614
32540	34564	36492	56880	79751	624293
29377	40313	8213	40865	61125	420105
28007	37002	25459	37083	53927	480283
27452	36776	20864	33895	53384	427207
20354	29395	18739	28640	45035	393898
18940	26813	16193	26384	43028	321698
24795	33617	20711	41626	72530	357053
42744	62918	70443	44052	82139	633870
68491	87199	110940	76531	148328	1210192
127624	151105	136019	262688	347383	2348598
64765	75765	29159	139733	175350	1141866
41742	50416	4970	62198	84332	521365
31344	39739	14927	32216	51743	540169
27764	34265	76251	34629	42863	645603
26157	32956	34598	30658	41327	463385
22383	28316	17724	30012	32284	408602
22886	22531	18373	30597	39234	354920
18480	26717	22213	27049	54952	322047
27490	40608	84514	37496	74443	650980
61567	83764	169031	76585	129574	980163
195189	247465	291708	252281	371335	3007079
332030	395545	272699	438249	553440	4262949
172803	198617	74421	515234	610958	3000194
109847	122314	70500	236605	296203	1551429
81678	95407	120370	97649	137357	1081031
53499	68888	63918	129084	174339	1000709
36359	46851	38048	61251	86962	726036
27634	38120	42771	46613	63878	614837
27190	36363	36051	42542	64799	392003
23881	32312	38060	35025	57138	459791
30764	42380	106962	63264	141023	889091
42804	62098	164146	116260	239440	1113890
170625	256675	299938	237125	471304	3523495
452575	604741	408450	556844	1039918	7585898
248386	327719	149878	412371	610651	5108558
120970	155511	53395	201248	319421	2153961
46648	58423	5494	117223	190132	883350
35841	44409	67819	102248	153772	974108
31647	38643	29408	69978	115328	714894
35115	48070	34687	53350	93370	659304
29058	42558	29835	49269	88576	407556
21819	40865	30961	39910	79778	507224
23489	52296	100358	50527	143615	860027
74349	120988	150036	109571	242562	1462088
576987	798716	414656	254964	586483	6127117
531933	721569	214704	395281	593929	6586959
273369	347853	50333	324743	446293	3872568
138209	167180	53257	173165	269739	1987315
64917	92816	38046	85065	134413	1117761
59081	81308	81405	92754	120922	1063412
41666	54127	45884	63507	86875	835401
34434	47948	51178	36482	56831	646858
29432	47508	36866	39547	65804	576344
24440	44068	43665	32837	57086	501563
38702	67718	177925	48134	115429	1115185
138489	199374	376819	160960	298299	2757097
358002	482272	448613	250701	361934	4873618
415185	531380	433743	214303	289601	4711886
159676	188091	107510	158478	212573	2294195
74575	87468	28156	78417	96452	1105613
49180	60257	62462	48904	48655	743245
55512	66135	76067	54507	69875	919008
40344	54802	49420	46576	57110	745139
32223	50090	35762	45916	55703	641451
30994	45619	32952	38159	46027	553202
30844	46447	55748	45241	99878	750657
49879	67824	118232	99163	166926	1130869
119047	143269	246014	180388	273062	2201959
271716	332181	311666	301187	484027	3881127
432121	498607	361577	921354	1208367	6044235
241685	268927	169713	413427	537126	3406408
96787	107912	36339	199299	276636	1327275
65000	78642	76317	83248	122280	991990
58144	75365	132354	73246	115541	1149524
50478	66100	125479	60262	74023	1001810
32365	45789	56600	37915	42296	730687
28184	43650	36161	32545	41787	528169
28377	43829	62546	33559	50325	623025
43400	63218	119700	46105	102266	947737
119837	146068	288951	170149	267776	1912947
295327	381620	358344	258348	389474	3699898
295248	348185	385149	237159	334106	3194227
106979	123985	100142	188391	253224	1530292
65263	76277	37134	125007	178701	1018206
39927	48875	12840	87567	116534	631856
32366	39451	17428	40834	64169	493597
28492	43187	43292	39713	44431	633343
24877	38941	20063	30078	36590	432221
24749	38486	17962	25735	32365	358154
22664	36448	26622	25632	42000	414038
32150	51227	66260	39966	97960	725093
61366	86483	113098	72381	148792	1082036
111071	148870	161394	136796	248466	2051687
179640	219073	151401	221660	313609	2756733
73944	90566	26156	133315	198415	1442325
52110	65439	66381	87223	134535	849322
33348	43471	38248	30911	57489	570133
27305	42277	16793	24244	37743	470778
25894	32965	19605	27790	24076	375179
19826	25979	18366	22039	27280	345199
23785	27402	19685	22999	31455	332567
21815	26431	30132	21544	34329	371467
42405	54168	135191	49486	110707	863095
98847	130419	185522	68081	117721	1215833
148192	181502	164104	109490	167360	1750009
156796	178345	83074	259656	322554	1975312
74096	87587	6756	211239	274864	1190512
59095	65056	10535	109671	150006	793717
24298	33324	7080	55663	87171	445165
26290	40179	23322	35420	48784	375644
20978	24430	10462	37486	52615	404076
17269	23027	7252	29097	33275	297445
18438	23016	8680	26093	36735	282268
15926	20713	11047	24348	41943	285627
24727	33311	25175	46437	82307	409161
39132	54673	79727	83724	121942	632535
99684	127654	191979	82273	135901	1298529
194917	229447	187627	275678	362621	2646256
78513	92085	51936	219727	284660	1405410
47328	55657	21207	118430	155808	712045
28296	38455	35376	63078	93078	534728
40706	53056	60468	39906	47692	585495
36556	41379	41488	41952	52003	456247
23842	26669	21887	28128	28132	304643
21655	29044	22110	25525	43675	305997
20220	28165	28348	22344	45515	390740
33164	43048	58459	41504	73114	492366
71499	90813	187228	69567	104524	867629
207799	286113	245880	150117	224066	2194282
244558	324470	168883	395035	591878	3412286
109211	144659	16873	186893	254629	1547301
60832	94555	20090	122925	192621	950721
35888	66221	67362	74295	107557	791643
20644	35823	6612	41457	56088	357490
30246	42632	35226	45284	82998	575284
20488	32075	32535	26370	38982	359173
17693	25641	21451	21740	58580	333686
20152	30383	36658	21803	64641	428942
28726	41824	82916	62783	117065	610846
68152	98016	206624	42505	100228	1137081
163002	228352	295973	127251	205366	2254472
169727	218229	186513	115366	162971	2121663
98131	116127	47886	127364	173788	1331227
64873	75596	35918	100058	144252	876357
42906	50923	23100	50341	70663	618244
30050	31319	7291	26059	32879	385955
24732	32459	18592	28200	40768	463558
22327	29989	20739	24808	25781	321231
25589	34113	28947	23890	40765	427691
25401	35235	36522	17735	35963	412547
34956	54805	177875	45965	138469	872382
77968	112209	244105	65419	115290	1325458
353198	469374	432079	230625	400386	4424540
404500	492639	325041	340330	470591	5029360
180542	213365	57287	210300	266335	2541697
82615	99042	49552	219954	262701	1178122
50982	62567	41930	75567	105687	758351
40001	41708	21783	47544	72922	565910
28424	36765	22802	30576	42231	473153
24564	34854	16699	25618	41425	409876
24604	33229	16036	22410	47067	395722
22586	28526	25676	17116	45619	360389
37000	48431	97083	47987	92878	683049
72212	89354	141743	66408	111590	840322
201012	252315	279831	194985	271651	2294716
212152	252945	217239	170899	227615	2454675
59980	72139	-6273	116579	171727	1022787
43786	52640	-18049	96487	147575	649736
31835	40438	20226	53156	76947	510447
41236	46014	33290	33051	56997	533075
29030	35668	46537	26834	34142	460343
27158	34007	32410	26314	34457	395307
23203	29867	25661	20186	35405	369565
24168	29151	59745	27304	64844	456771
45862	51115	192821	72614	130342	877741
53650	75262	128776	52276	98358	743112
196076	280421	229131	85499	180090	2267572
589803	727214	451397	459779	690285	6349394
419926	496709	225797	482909	665638	5277562
152801	181549	19067	165214	235813	1700064
64871	78006	9	75598	103911	724925
45437	55184	17457	43809	63559	653486
40749	49356	15627	47546	70358	550145
30633	39938	13172	26752	49091	464710
29842	37005	13407	19428	42688	432188
32302	35689	20124	26186	62977	510798
39442	51315	22275	50440	99228	550410
111511	149547	57363	95061	159875	1109289
364497	446510	132857	205368	328045	3370352
282567	329091	3281	560765	715579	3617391
110012	123206	-6234	322152	421553	2007827
52697	52588	-28455	112039	170166	733205
31752	35495	7383	45760	73004	524984
44174	50278	22853	42844	65915	575780
38614	48987	33902	45961	68081	634056
34502	43096	23135	32178	49361	509778
28607	40661	26421	38112	64931	507783
23527	35583	27660	27884	57136	451552
43375	66888	146830	77250	245257	1109672
103905	147167	146414	92913	181143	1499418
345304	441685	347297	377664	542117	4560684
478523	581430	375722	686584	883942	6169847
166761	201174	75560	246016	326225	2414455
108138	127758	71603	167441	242348	1505215
72827	86343	89836	92599	154854	1216603
68539	73314	69538	59154	97715	1040131
41222	53103	32011	45681	73895	721859
30138	41666	24014	33051	38219	558461
29812	42404	22353	33822	62085	523874
26105	36569	22115	32390	58461	479865
43148	54384	75461	58673	143073	772201
59902	83648	112675	99309	165533	1337211
196690	277180	266651	212104	354573	3609213
205823	255765	142657	342382	568665	3595044
138938	163010	44017	381749	539761	2557583
74828	82056	10064	166519	245782	1266111
39594	44466	-6156	72434	110604	696455
42677	47554	54758	61485	93786	696463
36469	44787	61117	49573	72874	762861
23613	30505	28777	29524	38442	502350
25708	29852	20416	33188	56269	471228
23554	27780	21890	29911	50648	427588
45395	56848	42058	57469	113704	683624
51690	69672	102922	89821	171651	846009
181254	235863	246787	282359	479451	2647407
312919	364598	251797	599517	832383	4459957
158622	189062	104188	329527	435158	2526986
121035	153852	218764	132632	195993	1619066
67256	81917	104815	71762	108064	1043020
39441	57783	16524	45795	67081	574717
28677	40488	13850	41527	62246	482853
25879	38366	8811	31693	45278	431297
27097	33831	12970	30744	52481	418317
26014	31336	14085	31651	59661	435638
38525	43828	37012	48669	85191	526973
96955	125556	127308	89956	139072	1176232
235472	299981	147344	177552	239809	2576207
141737	170395	13037	221723	256425	2253793
65708	76838	-26707	130878	180015	1051538
47749	60251	-16829	62821	97626	586642
37327	50252	-3525	39181	60051	514735
29026	34404	10256	38187	55439	451433
27556	33694	21366	28899	36415	463626
24900	33281	17637	25774	32086	402837
21586	27075	16187	25808	35600	331815
21540	25686	21041	24860	40094	330169
35691	40163	66839	49164	116551	592106
61266	81353	167571	51462	107143	945170
232391	289224	386207	134254	258734	2836393
165425	192483	203834	115276	180946	2286413
81443	94292	14670	100710	144714	1129555
78889	90310	31069	51681	86855	799461
38327	44252	-6291	30873	48657	453759
28219	35010	5671	21581	25197	355356
27511	33221	10583	26799	32628	383804
23209	29648	11878	22974	24590	334206
21669	28622	10812	22414	28361	307908
16814	22291	8993	19315	26263	265779
29993	35950	10397	30468	54560	378221
53993	77871	17493	54409	81797	595619
61326	79942	-10491	58117	97391	808690
50378	64286	-31701	224170	269791	1117035
31363	41334	-24042	138561	188953	726190
20987	26421	-28343	56014	70174	443156
16482	23758	-4365	39812	58588	487811
24672	30621	11190	31891	39215	357599
22769	28000	18932	31555	40990	430997
17533	22206	12584	25855	29628	298521
18348	24075	12094	25528	36565	271522
16142	21682	13318	24193	36909	269612
26703	34627	34935	59885	85327	508309
42060	59418	58012	56691	79287	676222
181777	225975	147687	96298	169168	2082025
178391	212228	54790	228213	299915	3000648
58050	71214	-28140	139999	190142	1270217
42785	54925	-17449	57148	91196	627943
47412	57323	36833	43363	59079	681384
28113	36330	12221	27464	37731	398543
23601	30419	23803	28047	37530	411169
22049	27732	17349	28892	36904	349094
20913	27732	18418	25560	36552	290943
19434	25877	23278	23841	41960	311600
46105	60022	115254	58637	112567	728186
68239	91831	139055	67187	101561	1038557
161880	209183	206817	81118	129493	1965659
146169	175429	105656	217684	260258	1820829
72149	83243	-3555	229723	275020	1117831
37291	43651	-29532	78505	120778	504191
26302	33223	41884	49845	76011	475368
34670	41394	52069	48327	78414	623921
26384	31214	43949	45682	68170	571149
21405	26305	29729	30176	47068	391863
21563	27520	52133	34497	52346	577175
18648	25668	70979	26312	48430	530211
25851	35412	84105	62633	137103	681724
65425	86067	296806	118955	175498	1549095
207783	261169	460075	237054	394823	3898587
242526	283194	309334	360517	493913	4440968
111399	127046	55225	229509	313498	2122762
61639	71113	11292	85900	134906	888938
29883	38385	14219	44661	66844	505087
43280	54972	80223	39975	57311	723704
27356	32892	27762	34251	39299	568512
25423	31470	15311	26380	34995	421637
25051	31783	12872	31594	45628	406367
21555	27043	11278	26265	43141	317050
36398	42375	20784	39876	79008	506727
104378	136138	101638	98154	158856	1357488
224564	270769	153154	246799	343316	3025325
168278	205564	29137	277719	343393	2556609
87526	104695	8223	149540	208655	1226116
67932	84742	38047	60813	81891	777087
44438	55738	43757	36671	48231	568324
70059	80465	156131	34673	60431	1192301
42128	49040	40874	30551	49463	623600
35578	44583	25046	22355	34051	464328
