BlueMesa,Crystal,FlamingGorge,Fontenelle,LeesFerry,Navajo
# start 1917, 1; end 2009, 12; frequency 12,,,
118548.5596,141607.4634,264274.2905,179815.7826,1932118.773,250627.1775
264838.6885,319282.1118,435227.9238,287676.379,3171536.758,292639.0464
419600.335,480445.7285,1092476.887,855643.8658,4890473.07,343336.4687
230829.8638,266396.8169,432368.877,359743.2325,2607076.891,195872.6617
88027.03345,102700.175,167331.2163,135929.5449,833551.498,48802.42008
61522.27661,78090.74731,93778.69788,73963.3615,842840.9902,77056.08553
57228.25879,75168.41016,108883.392,72821.86005,1094401.855,139326.5911
49117.09479,60734.70349,70190.17773,60040.95689,1037942.303,126556.1883
32227.61951,45810.13574,37552.81979,37768.80174,747311.6426,61743.83523
28086.99423,40138.04309,37226.7966,32374.32594,514234.2031,41932.68931
28109.56592,39536.20813,44433.53381,33319.73131,605526.4688,63620.42812
43818.70264,58837.14404,96569.5686,45688.0397,928533.8945,147120.2173
118311.8969,156282.8125,245468.5237,168983.7736,1505284.834,311480.6737
291070.1421,365743.4263,350913.8804,249850.5578,3078753.789,339655.374
284777.1455,333462.8242,224071.7661,175334.6793,2311781.324,356949.8767
93602.60059,108173.4304,161838.6904,135632.1433,862715.5645,117529.6379
56708.29797,68263.90002,104036.9209,85297.56532,642887.0117,46942.73696
33014.84888,41412.12769,54150.49884,50006.32574,422508.3809,15684.87785
30862.09741,38333.97632,47961.66919,39441.12857,417576.8047,18191.04155
28467.40427,38320.34949,39289.17319,39507.53921,616494.7832,42549.83237
24671.44016,32813.44031,31426.43793,29954.91253,429428.625,20117.64825
24563.45218,32414.77338,26770.39604,25553.22918,327977.0415,19078.22188
22603.43419,30860.94812,35671.84871,25391.33914,395994.3877,26129.76705
31941.93646,43136.61939,92263.83154,39550.35882,652094.8516,66870.14885
61032.62512,86481.72485,131699.5842,71846.01461,881965.7793,112116.9247
104844.4335,132705.5892,185944.8259,118393.1668,1335208.957,144827.2268
165709.5317,197356.5703,185394.6802,145814.8801,1713987.48,128599.8853
59013.02112,71939.99988,63123.14587,53701.54243,636304.6655,27847.53867
40393.25391,53734.55701,30589.93988,27882.41631,372708.4126,71721.12898
26715.9715,35714.24231,22399.81625,20481.40082,395693.8574,43683.45606
25650.63191,39394.53363,20211.78149,22420.47934,323436.2578,17708.46714
25848.50131,33881.77826,18925.61221,27626.84053,361929.251,17533.47655
19727.69249,27669.72145,22269.23221,21969.42555,328441.625,15715.98394
23681.33041,27277.24585,25620.5286,22889.67023,313529.8516,17264.04423
21779.76532,25654.75696,28244.15567,21369.43771,340047.2354,27449.6643
42286.1449,52467.88648,103436.8036,49170.93301,740503.2705,137288.2787
97546.20166,123167.7864,96725.83789,67760.25452,907620.2188,180047.6907
139467.5325,166232.6299,119249.875,95749.72843,1047927.465,149507.3503
145734.2246,162821.7275,240248.2427,214143.9652,1118995.527,81189.32228
59892.25781,66551.13196,155282.762,140726.1744,450082.6641,13573.16552
50195.55438,58545.58386,71420.36209,65066.85348,397573.1699,18562.18577
18242.06064,25914.38538,52222.25671,40527.66715,204161.0688,9940.922975
25446.18112,36869.77063,37097.30179,35614.11991,307449.4612,27766.84268
20843.25012,26493.84198,48110.21945,37797.25913,363110.5388,9963.029578
17206.79254,22358.5213,28544.10821,29388.03664,297536.4893,6959.520854
18372.48389,23030.34992,30340.9208,26242.1564,284147.1074,8937.361738
15768.11969,20913.84274,35340.71045,24344.3369,221071.9339,10983.483
24624.46637,31033.02747,75780.40405,46252.99312,359429.8314,28956.16723
38664.23383,50721.25952,104980.6318,82989.74637,411277.6661,80919.20951
94119.31323,113588.5339,91524.76831,69752.28078,702717.0446,173808.1253
181044.3311,210882.0996,255852.2563,222303.1549,1456986.585,172350.8242
68314.87317,80177.66736,169268.5442,149427.5692,657819.9669,62393.87798
38767.49182,48308.85327,61332.13068,61891.79876,266831.4446,32722.80366
25374.94312,35134.80878,47268.07367,43094.38411,314081.5141,36143.52825
40062.60669,50739.99976,35996.20361,40161.82192,461735.2661,58873.32342
36532.85114,40746.16657,47765.29517,42305.93795,413321.7719,41973.73124
23919.13059,29260.13831,22977.07367,28482.9745,333786.5256,24706.88499
21607.33359,27969.41739,37995.40283,25852.01424,500533.9636,23775.38843
19958.11188,25635.68585,39867.62256,22516.76313,495814.4132,29482.53762
33065.4552,41571.22247,65878.2782,41581.01126,456619.7752,62826.76939
71596.43488,86141.37927,95037.79297,69753.95467,679827.9868,172271.6674
198842.3412,273292.7815,192709.889,146826.4389,1396630.77,217657.4674
233515.937,307637.3491,507523.0962,357336.4448,2339828.588,150960.2939
96341.72241,120152.479,144955.657,120580.3949,742968.4165,28212.73203
49269.69565,68633.07874,96475.16431,70496.23747,446449.6463,37086.9564
29478.78073,48996.86908,69734.9635,56838.36537,518070.5256,82694.41718
19502.31937,32148.73822,49914.39227,42355.07288,308468.3504,10655.25522
30013.99338,38776.17285,78976.9426,45840.30686,540076.3636,34191.53012
20602.37079,28291.62158,33428.65485,26875.84843,373945.2496,30775.51625
17549.65552,23852.5882,53753.58722,22126.54895,323503.4975,21183.45018
20060.19745,25727.52814,58309.0647,22068.28409,401840.9455,36669.3816
28615.94739,36819.99463,109994.2305,62920.35922,526851.5107,86037.31546
66185.289,89195.95044,72001.29224,39609.10017,815599.8149,190123.4596
156911.9428,214561.4371,128896.427,88558.60738,1476335.107,271114.1045
154806.2479,197375.3653,77367.80826,65454.57798,1291146.843,197036.5289
87307.77521,105696.2579,69302.77686,67154.18154,603932.7669,60472.40331
53531.94183,67667.39563,33043.20865,35064.68418,323851.5769,51738.97988
33822.74234,42687.75897,18139.95027,25300.43165,301948.2248,31772.37713
27495.19225,33146.8678,21126.10571,26653.04091,274431.2529,13114.53035
24624.15007,34199.509,36340.41661,28583.21892,433298.3603,17941.80484
22168.97221,28081.81981,20172.70261,25161.44909,287100.9917,17671.71069
25516.22891,32719.60769,35703.43939,26797.14198,502467.3719,25031.74882
25357.73533,29282.0384,31519.43118,19506.48269,399589.0116,38205.64338
34644.72249,54095.12817,131041.2597,44793.08163,804768.5554,182257.6622
78342.92057,118354.6056,108397.3807,65556.63938,1182028.066,254040.7022
346135.6364,462424.681,338467.3398,218692.8634,3449528.588,397017.3633
393695.6578,490701.177,401951.3477,305732.8996,3843890.519,318678.3268
167772.5045,194749.4889,198420.3276,167175.8319,1598777.99,72072.5218
72453.18877,85267.92161,179777.7451,174934.3317,643088.3901,72302.2237
45870.31011,59763.75558,58004.15735,45606.07733,499326.5058,60111.32489
39527.99147,51660.08518,66945.17557,48607.06859,494104.681,27506.37597
28375.79491,36512.57919,38650.04111,31826.59683,461488.1455,23861.37256
24375.59464,31257.0203,37574.07422,26820.74195,389752.1058,16667.57616
24525.3856,29303.43514,41403.24908,22829.27522,385064.8066,13537.02722
22498.2155,27933.18717,39113.8407,19113.59003,337146.6446,24169.76011
36930.88355,44963.36499,87353.05139,49169.70888,621500.2116,98966.96087
71773.72256,87442.77107,95759.94043,65841.147,596222.281,134666.1397
194064.2042,241010.6845,184532.8638,155239.5224,1482139.438,256007.4646
200967.2911,239843.3085,116852.9851,103914.3153,1438338.486,227405.9534
45087.88137,55937.04626,42606.63666,39767.83739,249723.5702,15187.48036
34420.57684,45242.70606,33600.59984,35393.88655,168994.1157,7373.027691
27582.00133,36041.41921,16920.71713,24675.83618,255913.9835,42660.85251
40369.75509,44668.61708,48046.13562,35268.86929,414937.1702,40964.55328
28874.79669,34818.2876,29014.81741,29176.91117,418849.9041,44177.33758
27222.00992,33614.38017,29663.68524,26355.52638,348600.0793,31266.84672
23090.75703,29163.72893,31349.22241,21701.14461,328667.3851,23564.88384
24249.1438,29356.26446,59689.31458,26679.14254,385871.7421,59480.63208
45710.4,53965.80496,125432.7206,71849.44753,793505.8512,197574.9106
53867.00826,81030.58512,91182.69495,51512.20062,645591.0149,132823.3376
194922.7835,272237.2364,169359.499,84670.50899,1864072.78,230514.8849
580510.6711,729625.6463,597944.8267,426099.6831,4990861.825,445216.5133
412409.157,516838.3537,561722.1504,422151.2206,4407958.294,247853.8331
141030.8969,165289.4691,122326.2837,100903.0711,1049315.147,51713.52472
60641.94107,74027.19727,59782.96448,49144.76284,553702.7504,23813.99147
44465.47345,57089.8858,59265.44669,44382.80966,550119.3322,22409.52066
40658.04816,53250.92395,65278.57663,48063.97559,550933.2099,18385.66473
30560.15442,39246.54297,46794.44407,29790.85046,474719.6826,14239.36233
29673.15295,35481.47388,38474.6187,27235.64877,386279.1868,14663.26686
32330.41345,35856.53571,58551.89241,29310.64293,488981.1967,25272.90385
39386.8421,48850.91296,94698.09711,49929.62333,563859.8083,24599.78506
111428.5186,151874.668,152795.5935,96805.23953,976370.1818,55162.33045
355875.1265,442065.3579,288065.1111,196035.4107,2472486.248,123198.5584
269680.0073,327947.5425,599093.2962,499363.2683,2541877.23,27249.68875
92663.25928,110892.7246,301679.1353,259137.8004,1242635.841,14233.51146
37424.69415,46641.00299,84483.66965,72566.82588,307756.1455,-3555.028077
28733.9248,35247.03723,51049.01872,39035.47071,344658.0298,24365.76947
43653.479,52429.34827,47672.698,42337.38958,486196.9388,29112.06645
38758.04016,44856.2738,64407.02167,50516.74126,562053.7388,36357.52541
34439.70392,38388.2691,41450.70713,37350.62058,471044.7669,22735.13283
28546.29803,35580.25702,59037.83405,43002.72976,475088.2909,25671.98177
23392.38928,31009.27002,51889.14667,32575.65323,434491.0612,27566.77855
43242.09534,62610.09644,237062.1289,82342.64171,1039493.792,140787.6281
103776.9436,135714.1318,165861.9832,98345.26422,1266182.579,137305.2009
339507.377,422819.5415,479713.7202,356891.9396,3600657.203,313840.8055
467663.6914,564003.873,800012.0625,643733.0833,5026586.102,357427.9174
149767.0242,174938.3379,210879.54,192054.3007,1554691.379,95934.84266
97501.95694,109432.2993,171996.0213,139900.3008,1106695.18,79066.64683
67353.36022,74131.32234,113703.2119,83820.78724,1030234.81,101607.1929
67662.6843,69665.29587,92185.5835,70065.61627,992970.6843,66112.04747
41268.83306,49623.84793,75901.50305,53220.84332,709644.119,32118.51901
30011.58423,37889.67212,40187.20505,38303.54462,581262.8231,22421.97726
29653.98967,37627.33908,58434.11747,38129.69507,511242.7438,19701.11021
26138.42038,32447.05945,53929.12421,35011.82327,492187.1603,20267.32169
43010.36072,54000.60492,138849.5419,61974.57517,693737.4545,76836.6976
59743.23315,79439.92676,161945.5459,102764.9633,1226596.879,112910.0671
189191.1475,255539.5864,323858.4229,206958.1299,2883810.01,243749.9743
193043.3755,233787.0557,540621.54,340976.5912,2704079.425,135240.1148
122901.8999,139273.0232,432084.7754,326571.8124,1695528.972,59047.95139
62270.42737,70131.17847,154339.084,117089.7038,763719.6496,30090.35307
30430.84723,36553.41077,76504.98315,57901.90177,465307.7157,6370.457815
42131.70791,48650.40872,84773.9169,59025.11001,642599.0281,60170.36012
36453.40612,43182.09695,68759.84032,53241.40953,746926.7306,62453.31983
23580.88959,29244.49149,36402.57223,33236.89529,482363.8612,31240.18962
25515.11561,30776.58044,52455.25732,35793.46346,458599.1207,20716.19031
23599.59167,27657.68076,48985.57557,32924.78205,392790.8033,22629.7502
45173.04599,52727.74192,112002.3431,61721.97024,529017.0446,40188.24996
51455.16775,64522.76307,160947.9004,96792.41183,605265.0446,96584.96053
177521.7313,214502.2663,458045.4022,275269.7334,1974641.97,224564.6818
302167.1901,346678.6935,767669.2698,568312.4113,3420764.787,226499.493
144718.7751,166334.1756,324572.0643,274487.5279,1789075.696,109391.1222
112679.6891,132993.1391,118030.9296,93491.37644,1190900.549,215172.5807
63080.32453,77557.01612,84582.53422,63353.04576,846355.7157,104701.1698
38876.41876,52157.39871,58420.82459,50193.81875,527575.1207,21150.3599
28640.63151,33720.62734,55008.39547,45851.10801,477698.7967,14431.3203
25800.01943,31559.60655,34576.26007,33821.29919,405173.0777,9923.189952
27100.58928,32643.45491,41863.09147,31951.99529,372451.9339,13764.18995
25941.89351,32564.33979,52858.55295,33714.28549,396902.4,14852.85018
38426.45033,42168.77905,78507.36304,49850.04183,451588.7405,39275.25025
95322.97488,118596.2854,123489.1963,90375.35516,838526.4397,121842.9612
227671.3222,279553.2059,178559.8191,155978.9476,1702417.051,144393.6811
129301.1888,153167.9428,189093.2604,179181.9287,1458644.668,28836.49057
52434.26144,60665.18131,73041.41783,73518.15983,367397.9702,-10271.87967
36156.71234,44736.57715,37038.85502,39738.01594,173424.4364,2960.749856
31650.44902,37710.99694,38512.00882,32923.61802,277140.9521,7459.220165
27807.39174,33234.18843,48009.89752,37774.21134,357476.0727,12002.71736
27572.29091,32486.30083,32779.10083,31518.26227,392518.4727,20998.03636
24265.22975,29467.37851,27621.73884,26878.8999,343707.9471,16903.16033
21449.57355,26694.56529,31068.79339,24790.8383,285459.2132,16124.94546
21421.32893,26449.8843,34632.9719,23642.56443,289602.5653,21106.21488
35578.53223,40608.59504,109382.2413,48763.51316,479560.205,70061.07769
60377.3157,76928.1124,98059.6562,52476.20365,664287.0347,157469.157
224892.6744,271108.6215,182252.0926,107057.924,1863787.041,347266.8694
154753.3289,176838.8231,100609.3884,72915.08123,1364701.964,189394.4132
65871.78843,74493.30248,58418.63802,50557.42214,426418.5917,27716.01322
68755.93388,78493.66612,23466.54546,27456.14887,383610.5455,44512.70083
29555.76198,35051.80165,17396.54876,20236.39478,213469.9636,4752.971901
26933.29587,32110.1157,16701.22314,21273.60091,203726.2215,9765.6
27565.70579,32813.49422,26866.73058,26996.00696,333002.1421,12006.46612
23133.75868,29418.50579,18031.93388,23327.3144,275754.5058,12835.7157
21598.71074,27877.98347,21314.08265,22070.74656,262302.605,11719.29917
16705.4876,23495.42479,20827.53719,18617.33853,227805.8777,10019.68265
29637.83802,35215.47769,46408.78017,29762.44984,293755.8744,15319.77521
53477.85124,71951.56364,70434.36694,54981.62871,377406.9025,31466.3405
53126.49917,64690.41322,44764.8595,45791.82578,314206.0562,7271.444628
36121.3686,43138.49256,156001.0909,160146.4486,362779.438,-10666.88926
13825.76529,21232.58182,65091.23306,69484.69742,71994.38678,3764.528926
9587.107438,13801.92397,14726.57851,28712.49969,14373.52066,-3173.17686
12736.97851,18975.60992,27908.31074,28611.72365,254550.0694,11035.73554
24113.83141,28390.21488,29629.72562,31651.21618,264530.162,23121.87769
22763.96033,26521.50744,32114.67769,31813.53915,346183.3388,19727.26612
17428.00661,20873.93058,22148.60826,25882.72507,248629.4083,12597.00496
17448.9719,21969.26281,30127.45785,25487.42473,210484.6215,12819.86777
16039.10083,21196.97851,31626.14876,24203.94868,233310.1091,14819.22645
26553.67934,33762.38678,78286.86942,58993.8993,406899.0744,38120.82645
41589.79835,55881.48099,65575.10083,56135.41321,413152.6612,60829.34876
173721.0843,206246.281,98852.54876,76119.6927,1160320.959,137818.0562
170313.2033,196110.962,244006.3339,189083.2669,1992789.838,61050.80331
43287.23306,51833.87107,72050.24132,69308.44256,342611.0678,-9997.408264
33021.52066,41192.13223,33280.58182,35223.8836,144091.7752,2637.580165
45179.98017,51712.24463,26046.42645,31427.61415,445557.3818,45139.29917
26266.77025,31839.3124,23682.78347,26806.16325,285810.962,13805.7719
