1949 2007
1949 16933581 16933581 16933581 16933581 16933581 16933581 16933581 16933581 16933581 16933581 16933581 16933581
1950 13140416 13140416 13140416 13140416 13140416 13140416 13140416 13140416 13140416 13140416 13140416 13140416
1951 12505894 12505894 12505894 12505894 12505894 12505894 12505894 12505894 12505894 12505894 12505894 12505894
1952 20805422 20805422 20805422 20805422 20805422 20805422 20805422 20805422 20805422 20805422 20805422 20805422
1953 11165419 11165419 11165419 11165419 11165419 11165419 11165419 11165419 11165419 11165419 11165419 11165419
1954 8496102 8496102 8496102 8496102 8496102 8496102 8496102 8496102 8496102 8496102 8496102 8496102
1955 9413908 9413908 9413908 9413908 9413908 9413908 9413908 9413908 9413908 9413908 9413908 9413908
1956 11426874 11426874 11426874 11426874 11426874 11426874 11426874 11426874 11426874 11426874 11426874 11426874
1957 21500963 21500963 21500963 21500963 21500963 21500963 21500963 21500963 21500963 21500963 21500963 21500963
1958 15862511 15862511 15862511 15862511 15862511 15862511 15862511 15862511 15862511 15862511 15862511 15862511
1959 9598169 9598169 9598169 9598169 9598169 9598169 9598169 9598169 9598169 9598169 9598169 9598169
1960 11524160 11524160 11524160 11524160 11524160 11524160 11524160 11524160 11524160 11524160 11524160 11524160
1961 10010259 10010259 10010259 10010259 10010259 10010259 10010259 10010259 10010259 10010259 10010259 10010259
1962 17377609 17377609 17377609 17377609 17377609 17377609 17377609 17377609 17377609 17377609 17377609 17377609
1963 8840900 8840900 8840900 8840900 8840900 8840900 8840900 8840900 8840900 8840900 8840900 8840900
1964 10863586 10863586 10863586 10863586 10863586 10863586 10863586 10863586 10863586 10863586 10863586 10863586
1965 19875027 19875027 19875027 19875027 19875027 19875027 19875027 19875027 19875027 19875027 19875027 19875027
1966 10679844 10679844 10679844 10679844 10679844 10679844 10679844 10679844 10679844 10679844 10679844 10679844
1967 11670830 11670830 11670830 11670830 11670830 11670830 11670830 11670830 11670830 11670830 11670830 11670830
1968 13739932 13739932 13739932 13739932 13739932 13739932 13739932 13739932 13739932 13739932 13739932 13739932
