year     PDSI   gph_nov   znw_nov   mdw_nov   sst_nov   gph_jan   znw_jan   mdw_jan   sst_jan   gph_feb   znw_feb   mdw_feb   sst_feb   swe_feb   swe_mar   gph_apr   znw_apr   mdw_apr   sst_apr   swe_apr
1984   5.0717   301.834     9.684      3.19     -5.34   246.057    -7.638     2.375    15.778    96.163     7.796     4.171    17.243    14.508    16.675    30.656    39.031    -6.065     17.43    19.333
1985   5.3833    244.44     6.532     4.658    -2.572   200.816    -3.263    -6.344    15.839   171.678    15.838     4.685    16.942    10.983    13.017   202.654     3.261     2.016    17.671    17.342
1986   2.4917   308.339     18.07     2.413    -3.865   221.342    -1.674    -3.633     14.38   118.088    10.271     3.065    16.534    12.183    19.767   103.111    27.554     0.516    17.862    22.192
1987    2.715   211.462      1.67     3.187    -5.146   335.868     4.031      5.68    15.737   103.647    11.063     7.292    17.432     8.092    10.792   147.394    27.216    -2.424    17.919    14.117
1988 -0.15833   311.199     9.207     0.998     -2.62   371.397     2.257     9.201    16.784   138.775    13.422     2.815    18.168     9.450    11.950   120.495    23.139     -4.04     20.05    15.133
1989  -2.7583    257.99      8.37     -0.27    -0.698   342.961     2.474     8.116    17.437     3.156     0.506     1.781    18.663     9.733    14.008   218.188    20.025    -3.406    18.321    16.108
1990  -3.6217   216.344     0.926      2.44    -0.603   309.962     6.308     8.142    15.978    49.927     5.894     0.833    17.053     6.992     9.242   313.692     24.18     5.699    18.775    12.058
1991   -3.745   243.006      3.08    -3.213    -0.252   211.254     2.605    -3.777    15.985    65.897     8.295     1.893    16.537     7.808     9.992   162.538    14.194    -0.216     16.67    15.558
1992   -0.845   237.151     9.267      -0.3    -2.543   328.633     6.422     2.243    16.827    45.866    -0.938     1.901    17.931     7.608    10.450   202.878    20.975    -2.142    18.566    13.658
1993 -0.54167    286.78    11.317     0.727     -2.18   271.392    -0.636     2.541    15.882    71.828     7.756     4.049    16.902    11.183    16.158   179.135    26.258    -2.339    17.795    20.092
1994   2.7067   211.064     4.062    -1.728    -3.527   288.597    -0.119     3.996     14.97    167.37    12.445     3.231    16.477     6.883    10.867    67.819     20.05     -2.68     18.26    12.300
1995  0.97333   233.775    -0.582    -1.195     -0.92   279.543    -3.154    -2.847    15.825     33.72      9.32     3.198    16.597     9.675    12.900     68.92    23.087    -5.999     17.11    17.525
1996 -0.11167   255.747     7.503    -1.935     -2.72   322.418      1.61     9.326    16.046   100.423     5.489     0.667    16.972    13.575    17.442    174.51    27.884      1.41     16.97    20.883
1997  0.65167   345.328    12.544     5.052    -2.509   232.089    -2.424     1.973    14.827   119.224      7.49     0.864    16.256    18.958    21.233     125.4    22.762    -5.439    17.051    22.050
1998   3.4667   207.705     8.411     2.148    -4.179   345.475     1.956     9.424    15.792     69.14    11.307     3.299    17.244     9.158    12.500   291.296    21.776     0.893     18.53    15.967
1999   2.5733    231.86     4.623    -0.962    -1.314    291.48    -1.942     2.648    16.978    85.968    10.119     2.756    18.213     8.933    12.750   210.035    13.668     2.169     19.78    12.667
2000 -0.89167   229.612     6.437    -1.362    -0.877    430.16     8.456    10.736     17.93    -3.243     4.923     1.793      18.7     8.225    12.467    91.296    31.007    -2.567    19.975    15.292
2001  -1.9183   198.623      0.36      0.71     -1.98   305.737    -1.586     3.376    16.332   106.561    13.868      3.44    18.169     7.758    10.683   112.347    23.594    -4.475    19.708    12.675
2002    -3.64   274.763     7.918    -2.297    -0.527   372.287     2.641     4.047    17.356    25.894     5.401     2.704    18.398     7.442     9.292   205.197    19.079      2.98    19.386    10.792
2003     -4.3   276.156     3.473    -1.955    -1.214   332.948    -0.303      9.76    17.018   103.234     8.982     2.946    18.486     7.142    10.750   119.678    33.232     0.385    19.032    14.467
2004   -4.155   196.473     4.253     2.678    -1.622    286.54     -1.34     4.339     17.07    94.023     7.138     4.205    18.016     9.467    12.542   109.228    21.654      0.24    18.489    11.042
2005   1.6183   216.968     6.259    -0.015    -1.075   284.397     4.372     1.875    15.535   124.635    12.101     8.789    16.829    11.800    14.500    87.494    24.911     -2.56    17.932    18.175
