      gph_nov znw_nov mdw_nov sst_nov  gph_jan znw_jan mdw_jan sst_jan gph_feb znw_feb mdw_feb sst_feb  gph_apr znw_apr mdw_apr sst_apr
1988 -428.876 -17.557 -13.096  -3.944 -371.397  -2.257  -8.794 -16.751 177.232  13.422  -5.664 -18.142 -120.495  22.741   4.470 -20.253
1989 -391.675 -21.788 -18.600  -6.650 -342.961  -2.474  -7.476 -17.478 157.241   0.507  -0.932 -18.644 -218.188  20.328   3.136 -18.599
1990 -204.894 -10.367  -1.251  -6.093 -309.962  -6.308  -7.570 -15.879 151.222   5.894  -1.647 -17.011 -313.692  24.180  -5.282 -19.397
1991 -289.348 -13.052  -2.527  -6.407 -211.254  -2.605   4.016 -15.881 174.870   8.295  -3.935 -16.509 -162.538  13.597   1.055 -17.382
1992 -268.747 -15.487  -6.332  -6.208 -328.633  -6.422  -1.817 -16.829 138.838  -0.938  -2.948 -17.869 -202.878  21.026   2.353 -19.036
1993 -334.995 -15.758  -7.638  -4.551 -271.392   0.636  -2.243 -15.880 163.014   7.756  -4.517 -16.888 -179.135  26.366   3.003 -18.146
1994 -329.005 -17.488 -10.619  -4.872 -288.597   0.119  -3.363 -14.921 163.241  12.445  -5.843 -16.372  -67.819  19.622   2.795 -18.584
1995 -303.545 -12.520  -0.903  -5.336 -279.543   3.154   2.629 -15.790 185.826   9.320  -6.200 -16.610  -68.920  22.907   7.010 -17.707
1996 -349.361 -14.943 -10.092  -6.249 -322.418  -1.610  -8.589 -15.924 146.284   5.489  -0.424 -16.929 -174.510  27.611  -0.519 -17.498
1997 -242.245  -8.105  -4.120  -4.925 -232.089   2.424  -1.535 -14.758 179.515   7.490  -2.158 -16.296 -125.400  22.647   5.696 -17.334
1998 -239.435  -8.383  -3.775  -3.551 -345.475  -1.956  -9.041 -15.716 200.281  11.307  -4.006 -17.205 -291.296  22.222  -0.890 -18.880
1999 -264.173  -5.978   2.958  -4.797 -291.480   1.942  -2.841 -16.868 174.661  10.119  -1.589 -18.213 -210.035  13.081  -2.255 -20.340
2000 -399.977 -20.555  -9.164  -7.045 -430.160  -8.456 -10.351 -17.835 109.234   4.923  -1.953 -18.733  -91.296  30.880   2.765 -20.313
2001 -284.425 -16.400   2.959  -5.955 -305.737   1.586  -3.218 -16.153 168.991  13.868  -1.220 -18.140 -112.347  23.215   4.556 -20.138
2002 -334.938 -14.172  -5.448  -5.998 -372.287  -2.641  -3.774 -17.314 162.741   5.401  -4.980 -18.380 -205.197  18.736  -2.417 -19.836
2003 -316.708 -15.250  -7.930  -5.974 -332.948   0.303  -9.192 -17.002 152.548   8.982   2.284 -18.409 -119.678  32.897   0.565 -19.345
2004 -369.400 -20.750 -14.668  -6.773 -286.540   1.340  -3.952 -17.053 153.823   7.138  -1.349 -18.039 -109.229  21.499   0.351 -18.715
2005 -216.749  -8.502   2.985  -5.230 -284.397  -4.372  -1.780 -15.588 167.564  12.101  -7.490 -16.774  -87.494  24.339   3.025 -18.255
2006 -301.593 -17.407   0.556  -6.835 -352.460   1.486  -7.816 -16.345 142.280   6.774  -1.956 -17.632 -213.794   8.808   1.128 -19.109
2007 -282.007 -12.358  -8.347  -5.140 -323.130  -1.525  -3.574 -15.753 169.331   6.758  -3.215 -17.240 -124.977  22.299   6.852 -19.397
2008 -302.628 -14.852   2.343  -7.459 -330.265   0.013  -1.871 -17.189 161.733   6.633  -6.974 -18.476 -148.581  21.644   1.760 -20.136
2009 -333.326 -18.722  -6.144  -6.994 -309.428  -0.931  -4.587 -16.912 140.906   3.770  -1.317 -17.953 -172.633  12.215   5.545 -19.088
2010 -274.667  -8.250  -6.009  -6.974 -268.767   1.656  -1.973 -16.941 182.688  12.094  -2.885 -17.989 -203.686   5.604  -3.025 -19.280
