"Year", "BlueMesa", "Crystal", "Navajo", "Fontenelle", "FlamingGorge", "LeesFerry"
02-28-1915,23000,26600,36611,18000,54052,397336
03-31-1915,47000,54700,71993,41000,80291,525839
04-30-1915,85000,106500,296684,71000,131388,1483872
05-31-1915,140010,171710,340274,100000,180006,2427137
06-30-1915,270228,318728,400317,176100,318445,3642472
07-31-1915,141382,151382,239547,187000,239480,2147795
08-31-1915,67370,71970,69318,94600,134443,853538
09-30-1915,37938,40938,42457,70000,99756,528868
10-31-1915,33000,36100,30482,61500,89370,557983
11-30-1915,28000,32600,35057,42000,60630,411050
12-31-1915,25000,27500,18975,35000,50254,343248
01-31-1916,23000,24600,29163,25000,51798,393996
02-29-1916,19000,22400,29366,28000,64903,424367
03-31-1916,38000,44800,212423,80000,181326,1391402
04-30-1916,108000,136000,285980,140000,254901,1802735
05-31-1916,310010,378410,350984,247000,406281,3736188
06-30-1916,439028,515528,433131,493900,727014,4752149
07-31-1916,203282,221882,190935,350900,422265,2633061
08-31-1916,148270,158670,191968,149200,191411,1931864
09-30-1916,66838,71538,80336,60700,89406,809499
10-31-1916,65000,72300,210098,51000,86919,1402792
11-30-1916,38000,42600,63496,31000,48665,495715
12-31-1916,32000,33800,34682,24000,37259,369117
01-31-1917,23000,25800,25622,22000,31143,260297
02-28-1917,23000,27200,24422,20000,36746,351858
03-31-1917,29000,33800,41213,32000,66388,506892
04-30-1917,75000,93800,222038,113000,223600,1545288
05-31-1917,185010,226010,354078,309000,483053,3763312
06-30-1917,564928,663528,570353,602600,957051,7772051
07-31-1917,287482,315482,332382,628500,828353,4940893
08-31-1917,104870,113870,94721,169700,233116,1618992
09-30-1917,55638,59338,32713,81500,117663,822052
10-31-1917,47200,53300,22097,52400,80803,510346
11-30-1917,31000,34500,28497,41000,56773,448052
12-31-1917,26000,27600,8230,32000,43351,402771
01-31-1918,23000,25800,16121,23000,45098,356293
02-28-1918,26000,29900,25059,21000,48409,373570
03-31-1918,34000,39900,64226,44000,98534,655998
04-30-1918,62000,77500,74984,93000,188477,901047
05-31-1918,290310,353710,198237,204900,364573,2760606
06-30-1918,496428,581428,230106,770200,935160,5393082
07-31-1918,182282,198182,117684,278000,332554,2288860
08-31-1918,123570,132370,62741,126400,170335,968226
09-30-1918,86338,92338,64352,57900,85839,691873
10-31-1918,60400,65800,17395,50700,86387,569909
11-30-1918,34000,39200,23259,40000,54006,496385
12-31-1918,27000,28900,30809,28000,33490,410088
01-31-1919,20000,20900,24167,22000,31216,287188
02-28-1919,19000,22200,25508,19000,35143,316951
03-31-1919,36000,41800,50243,36000,68993,653288
04-30-1919,84000,105000,230542,81000,164806,1414719
05-31-1919,280010,341510,377934,165800,260156,3231443
06-30-1919,214828,250728,279429,163600,238185,2597757
07-31-1919,132782,142482,170299,57300,96904,1537304
08-31-1919,87470,92070,112165,41500,81304,904499
09-30-1919,47638,51638,50196,34100,62174,531938
10-31-1919,37100,40600,25941,44000,64520,377401
11-30-1919,34000,39000,28839,33000,47972,404787
12-31-1919,29000,30700,33018,23000,32323,394092
01-31-1920,25000,27600,34678,21000,39426,406940
02-29-1920,25000,28700,67972,21000,44312,601644
03-31-1920,44000,52200,114277,46000,110453,685472
04-30-1920,49000,62100,217638,86000,188047,983984
05-31-1920,435010,532110,616540,284000,465685,5917499
06-30-1920,550228,645128,603059,514400,801095,6993901
07-31-1920,236382,257082,290008,268100,367079,3165232
08-31-1920,102870,110570,97949,116600,172907,1376497
09-30-1920,55238,58538,42937,57000,91700,620527
10-31-1920,47000,51600,36695,48000,67608,534996
11-30-1920,39000,45200,40238,41000,51168,596367
12-31-1920,31000,33200,24193,30000,43621,404572
01-31-1921,29000,32500,22565,27000,53867,414071
02-28-1921,24000,27700,31592,25000,64664,456635
03-31-1921,35000,40500,108390,67000,142806,943676
04-30-1921,62000,77100,125888,115000,236451,930238
05-31-1921,285010,348610,327051,276500,519668,4180109
06-30-1921,589928,693128,510648,751500,1115908,8467231
07-31-1921,239882,262682,224425,205600,328180,2849389
08-31-1921,121670,131470,220942,104200,177864,1972571
09-30-1921,74438,79838,78596,58600,97674,953215
10-31-1921,45200,50600,24005,46000,72027,488368
11-30-1921,38000,42500,22445,39000,64106,417789
12-31-1921,29000,30700,20316,34000,48089,453491
01-31-1922,27000,30700,26433,29000,55043,351437
02-28-1922,25000,28800,24751,25000,62472,438927
03-31-1922,35000,40500,82785,74000,178185,907265
04-30-1922,69000,87000,210558,90000,214853,1185878
05-31-1922,330010,401310,446520,342200,564162,4699578
06-30-1922,365228,428028,494079,649600,904976,5761054
07-31-1922,126282,136882,117606,241200,328977,2159890
08-31-1922,82070,87670,61478,131100,196506,1148518
09-30-1922,41238,44638,29947,73900,100933,657391
10-31-1922,27200,30100,19398,45300,74382,336581
11-30-1922,28000,32100,37242,37000,53893,400845
12-31-1922,24000,26400,21592,30000,43599,399832
01-31-1923,22000,23900,22778,24000,46489,375212
02-28-1923,21000,23800,33883,21000,45234,340452
03-31-1923,30000,35000,43578,33000,67176,449461
04-30-1923,69000,86800,135428,101000,230062,1316359
05-31-1923,308010,373510,331915,351000,552991,3835398
06-30-1923,434028,510228,342613,454400,715422,5077612
07-31-1923,231982,255882,163985,383900,508107,3053686
08-31-1923,134370,143570,101999,143600,208565,1744686
09-30-1923,79638,85438,118503,64900,101296,1013539
10-31-1923,61000,66900,67020,66000,99598,747522
11-30-1923,45000,51200,51889,49000,63990,646295
12-31-1923,29000,30700,40449,32000,42488,423825
01-31-1924,27000,30700,31069,29000,45711,312564
02-29-1924,26000,29900,32883,28000,47257,506890
03-31-1924,32000,37500,34953,45000,107721,508913
04-30-1924,112000,138800,220496,142000,235356,1665561
05-31-1924,301010,366910,333145,247000,354879,3264099
06-30-1924,357928,417628,281433,221700,253943,3780821
07-31-1924,113882,124382,80835,127500,161504,1672022
08-31-1924,54470,58770,42086,57400,91982,720755
09-30-1924,32538,35038,26375,44700,63373,389827
10-31-1924,34000,36700,20101,42000,49272,388361
11-30-1924,33000,38000,31823,36000,47572,392567
12-31-1924,27000,28900,13090,28000,36191,275417
01-31-1925,25000,27600,11148,21000,37275,262125
02-28-1925,23000,27200,15756,23000,40683,403157
03-31-1925,40000,47900,51298,55000,130208,607575
04-30-1925,132000,165000,137472,98000,195644,1382195
05-31-1925,224010,274110,209884,218300,364610,2536635
06-30-1925,209428,244528,230875,339700,446307,2860902
07-31-1925,135982,146182,132641,322000,384963,2086524
08-31-1925,90670,96070,89459,137900,192343,1040652
09-30-1925,62438,66338,148613,72800,105083,1174711
10-31-1925,48000,53000,99097,65300,81848,1020530
11-30-1925,39000,43600,45490,45000,60539,608566
12-31-1925,26000,27600,26095,39000,47152,447131
01-31-1926,20000,22100,18463,37000,51863,359577
02-28-1926,19000,21600,25752,32000,59576,353543
03-31-1926,32000,36800,53756,61000,136383,643799
04-30-1926,83000,103100,170266,117000,213217,1634988
05-31-1926,236010,289010,325794,221700,339469,3546066
06-30-1926,321728,378328,353749,203700,296103,4075706
07-31-1926,134082,144682,79565,149800,186715,1998872
08-31-1926,74170,79470,60937,81900,120335,966236
09-30-1926,37238,39838,36942,49900,71490,459006
10-31-1926,38200,41700,45451,41200,67875,461696
11-30-1926,31000,35800,40850,35000,52120,334893
12-31-1926,28000,30100,21053,22000,30170,379348
01-31-1927,24000,27000,23976,26000,41671,337439
02-28-1927,24000,27700,34245,25000,39829,388832
03-31-1927,33000,39300,66804,40000,89363,605740
04-30-1927,88000,110300,235248,64000,146513,1269471
05-31-1927,355010,431510,403551,220300,398980,4135924
06-30-1927,347428,406928,382615,503900,713627,4064755
07-31-1927,179882,196782,273177,338400,429860,3135304
08-31-1927,103870,112570,97635,132800,205115,1321496
09-30-1927,105838,113938,313663,105900,145987,2116962
10-31-1927,70000,77000,70500,73500,93497,979882
11-30-1927,52000,59400,48600,60000,69708,739253
12-31-1927,40000,43000,31700,39000,47312,444154
01-31-1928,33000,38100,31700,29000,46996,469629
02-29-1928,28000,33300,36600,22000,47454,463036
03-31-1928,49000,58400,90400,52000,105037,754898
04-30-1928,89000,111800,116700,72000,198758,1025978
05-31-1928,448010,547310,250400,393800,605855,4580808
06-30-1928,392479,461679,163341,329000,446635,4271762
07-31-1928,181474,198074,52296,248100,321819,2241461
08-31-1928,86950,92850,36713,141100,192183,1048281
09-30-1928,47942,51442,23400,61000,87450,558717
10-31-1928,37100,41600,19100,45400,57790,625418
11-30-1928,49000,54500,32200,39000,53538,570090
12-31-1928,24000,25800,18200,27000,36174,344257
01-31-1929,21000,23300,15700,25000,45410,331823
02-28-1929,20000,23300,16600,21000,50894,346061
03-31-1929,45000,52800,73800,48000,117117,923749
04-30-1929,83000,103000,203800,123000,211427,1698113
05-31-1929,350010,425110,359800,182000,293200,4276260
06-30-1929,436938,515238,317072,300400,483349,5414639
07-31-1929,191384,211384,110217,186000,281516,2744488
08-31-1929,167275,179775,247455,100800,173051,2389753
09-30-1929,156838,166438,191900,70600,108769,1742400
10-31-1929,87500,95300,79400,59100,73407,964744
11-30-1929,53000,60700,32200,43000,59245,560310
12-31-1929,33000,35600,17900,37000,45302,437244
01-31-1930,23000,24600,15100,29300,44032,298790
02-28-1930,21000,24900,28600,29300,45577,485407
03-31-1930,29000,33800,44700,48500,116848,575245
04-30-1930,173000,217400,187000,116000,216485,1792671
05-31-1930,185010,226010,176700,222300,302807,2168481
06-30-1930,285105,335405,192499,412400,537416,3724824
07-31-1930,112520,123920,87523,244300,314307,1693721
08-31-1930,123706,132606,101586,117700,178772,1891015
09-30-1930,49162,52462,26000,58500,93152,691053
10-31-1930,38000,42300,21300,78900,94789,587559
11-30-1930,30000,34200,17300,35200,51225,423714
12-31-1930,29000,30700,16800,28300,32007,288560
01-31-1931,23000,26400,13800,18500,35554,263662
02-28-1931,21000,24400,17700,20400,41971,366638
03-31-1931,27000,31200,28500,35700,72325,429833
04-30-1931,44000,55000,77700,55500,106965,597640
05-31-1931,70014,85214,168000,81400,147681,1387684
06-30-1931,112394,130894,142853,163900,183122,2042728
07-31-1931,56547,61447,66858,72600,102800,1147598
08-31-1931,45870,49270,45624,54500,78151,671677
09-30-1931,25938,28538,50000,31900,41111,424426
10-31-1931,31200,34400,66300,27600,28364,536284
11-30-1931,30000,34700,30700,23400,31610,353321
12-31-1931,28000,29500,19200,18900,26725,252642
