"Year", "BlueMesa", "Crystal", "Navajo", "Fontenelle", "FlamingGorge", "LeesFerry"
01-31-1951,25200,27400,9800,38200,44656,307758
02-28-1951,24600,24500,10600,39700,61210,356588
03-31-1951,33300,37400,21300,49000,92872,416528
04-30-1951,62000,71800,38800,145500,211855,564533
05-31-1951,182982,211782,140300,321000,400252,2034805
06-30-1951,297797,317797,125227,510400,678214,3694508
07-31-1951,108481,138281,27012,371000,447459,2205007
08-31-1951,70274,73174,33790,216300,285957,1172271
09-30-1951,22433,24333,14000,88400,116207,532247
10-31-1951,29800,33100,7700,64900,98876,430044
11-30-1951,27200,29900,14100,38000,56795,451352
12-31-1951,26500,28500,22100,36200,53933,340253
01-31-1952,28400,31000,31200,40400,49428,490658
02-29-1952,22900,27100,18800,37500,52245,385654
03-31-1952,25600,29300,58700,43500,63431,435309
04-30-1952,146400,181600,328000,152300,316582,2329319
05-31-1952,376014,456714,435400,301000,603176,5569121
06-30-1952,539225,623725,506963,375300,617022,6201051
07-31-1952,181115,199415,148290,193300,301798,2317967
08-31-1952,114502,122602,65701,115500,169464,1255129
09-30-1952,50408,55308,25706,58500,83984,694186
10-31-1952,38900,44500,12600,36200,52521,376061
11-30-1952,30700,35500,14300,24900,36934,376582
12-31-1952,31500,33200,18800,25200,34017,374385
01-31-1953,28000,30700,19100,29100,47643,402474
02-28-1953,20100,24100,16200,30200,48218,365207
03-31-1953,32100,36500,40200,41400,72823,458845
04-30-1953,49600,62300,88500,70400,95921,554827
05-31-1953,143100,171300,138000,67100,109906,1285021
06-30-1953,338978,393578,186407,370500,506210,3910327
07-31-1953,122783,132783,44857,229000,301743,1662389
08-31-1953,78612,85012,28639,123000,168191,1032517
09-30-1953,24600,28000,3834,44400,63421,405366
10-31-1953,29500,32100,14000,30700,36707,318406
11-30-1953,34400,38800,24600,31900,41756,427066
12-31-1953,27800,30000,15200,23300,31529,342974
01-31-1954,23300,25200,13100,25400,27907,317925
02-28-1954,21500,24900,20800,29300,39045,341586
03-31-1954,26600,31800,32500,36300,61628,388722
04-30-1954,54000,65400,110700,65000,100840,666898
05-31-1954,100507,121207,185918,287100,315665,1753441
06-30-1954,90967,101867,88745,253200,273175,1396009
07-31-1954,81300,86500,66833,260600,351389,1255884
08-31-1954,49600,54500,51457,107800,138552,664718
09-30-1954,23000,26800,37694,47000,61012,494512
10-31-1954,35600,38100,12762,36300,44429,570813
11-30-1954,26100,28800,7840,33200,40848,355936
12-31-1954,25200,26300,13910,18400,19874,289658
01-31-1955,21900,22800,13319,19800,24060,254680
02-28-1955,15400,17800,13254,19100,24575,252729
03-31-1955,19600,22600,28925,27900,43597,590617
04-30-1955,62200,75600,51803,59900,106215,697977
05-31-1955,134726,160926,158181,128700,175479,1950795
06-30-1955,188538,215938,161279,265800,338656,2332135
07-31-1955,79335,87135,42268,154100,217287,1220313
08-31-1955,73520,78220,80627,91500,123776,920244
09-30-1955,9487,24687,18904,38700,50953,359573
10-31-1955,19900,21800,4976,30800,39191,225234
11-30-1955,26100,28900,12028,25100,36180,274490
12-31-1955,29300,31600,16483,32100,45414,335121
01-31-1956,23800,25900,17574,38400,50031,379784
02-29-1956,18900,21800,15949,29700,37488,279980
03-31-1956,27900,31600,52506,65700,149673,513692
04-30-1956,84400,104200,91134,130200,202810,993694
05-31-1956,235027,279127,212172,306800,377893,2814517
06-30-1956,242968,278368,153098,571200,693386,3534913
07-31-1956,70400,76100,31599,223100,295669,1151798
08-31-1956,46600,51700,18269,124600,169243,703754
09-30-1956,13500,16500,579,59600,75540,298120
10-31-1956,23400,25100,1080,42700,51674,193813
11-30-1956,27600,28900,12245,35500,38626,304643
12-31-1956,22800,22600,9587,26100,25587,258166
01-31-1957,21100,22500,14685,22600,27868,295275
02-28-1957,21800,23700,31263,27700,42962,331116
03-31-1957,26800,31600,47924,45100,65704,508805
04-30-1957,73700,90500,135499,54600,86063,868604
05-31-1957,232500,302400,235709,186100,271835,2805792
06-30-1957,682734,805534,560807,494300,735944,6669099
07-31-1957,463454,568254,357124,385400,525007,4906010
08-31-1957,188000,203000,167113,135000,201861,2007877
09-30-1957,71000,77900,58442,70000,98816,1010603
10-31-1957,46000,50900,51333,57800,78298,756358
11-30-1957,43000,49900,60931,44900,57009,838468
12-31-1957,41100,45100,36477,41600,45660,502956
01-31-1958,32100,34400,24258,32600,43398,392045
02-28-1958,28300,30900,53216,41000,55081,536727
03-31-1958,31600,35100,79267,42200,65940,688965
04-30-1958,95400,117300,285975,85500,134241,1599996
05-31-1958,457998,550098,481269,290500,410722,4597690
06-30-1958,380203,443103,322323,284100,413898,4562509
07-31-1958,100639,108639,59297,119800,168901,1308184
08-31-1958,67114,70614,29788,75900,103528,677219
09-30-1958,34900,38700,33132,43400,55233,438820
10-31-1958,28600,30600,17075,31300,39326,333453
11-30-1958,31100,33600,19115,30000,34104,358554
12-31-1958,27300,30400,14935,29400,37993,368349
01-31-1959,25200,27400,11669,21800,29256,306407
02-28-1959,22600,26000,15501,22700,31696,313512
03-31-1959,26500,29200,18690,36300,65078,350118
04-30-1959,51200,62700,41260,59800,98479,463516
05-31-1959,121801,146301,104452,77100,118815,1380376
06-30-1959,237427,272327,116510,368700,429195,2826173
07-31-1959,75391,79491,29042,171500,271363,1448923
08-31-1959,53717,58517,41615,102700,137569,766845
09-30-1959,19800,22100,7487,43000,62714,316311
10-31-1959,51100,57200,66266,50200,67876,557316
11-30-1959,37700,41200,47251,37700,50654,517710
12-31-1959,25100,26500,22698,28200,37307,350962
01-31-1960,23300,26600,16880,24600,26182,289809
02-29-1960,25100,28500,17250,20000,28760,314720
03-31-1960,47400,57500,179920,54200,148721,749816
04-30-1960,138200,172600,246540,78500,140192,1720737
05-31-1960,160424,192724,228686,68700,139665,1977890
06-30-1960,286033,326633,283404,198900,281906,3222979
07-31-1960,104471,109771,75088,116800,165830,1361812
08-31-1960,60485,59185,25480,54400,77510,582813
09-30-1960,23006,24106,12210,34900,49863,328283
10-31-1960,28900,31400,20545,43900,49967,361418
11-30-1960,26400,34400,19277,39800,54034,348931
12-31-1960,25400,27800,15789,25300,26757,264952
01-31-1961,21100,23500,12391,21500,27674,244498
02-28-1961,18300,21300,16158,20300,27334,318919
03-31-1961,29800,34400,45364,30500,63930,368225
04-30-1961,47200,57200,127358,50200,81524,637529
05-31-1961,173005,204205,251066,71800,97675,1642974
06-30-1961,198559,224959,153050,210100,284210,2528584
07-31-1961,69261,70661,44497,87100,126976,956734
08-31-1961,69200,71800,55769,52100,76816,718990
09-30-1961,61400,66600,54697,42100,60251,856024
10-31-1961,63500,69500,50386,42500,64166,819598
11-30-1961,46100,51700,36120,31700,54458,547420
12-31-1961,32100,36200,17921,27900,44587,370764
01-31-1962,30300,32900,17412,32000,43343,334494
02-28-1962,28900,32900,43950,32600,84494,774737
03-31-1962,30300,33700,44474,38600,150560,545028
04-30-1962,184600,219800,236126,182000,388462,2532520
05-31-1962,328505,383905,256844,262300,407112,4119768
06-30-1962,355148,398248,221001,386700,520292,3849168
07-31-1962,196737,215937,101547,279500,388209,2550866
08-31-1962,79994,82994,22084,133300,182966,912852
09-30-1962,31942,36842,10846,49100,63658,412135
10-31-1962,36100,40600,36193,44300,49180,555007
11-30-1962,30200,35600,25875,41600,46555,448064
12-31-1962,23900,28000,18953,24000,33300,342970
01-31-1963,21500,23300,15119,18000,23390,201557
02-28-1963,24300,27400,36791,19900,39062,370712
03-31-1963,45700,56600,71658,40100,53996,575260
04-30-1963,69000,79100,122090,49400,72556,763590
05-31-1963,160900,181700,186119,108300,135805,1808387
06-30-1963,112963,120063,59466,349700,417763,1839152
07-31-1963,71425,70725,29157,190700,250993,933748
08-31-1963,59000,58800,27320,92200,127789,685572
09-30-1963,39200,41900,36512,83200,102308,735431
10-31-1963,25800,26200,13970,51800,65590,319363
11-30-1963,30600,31100,10448,42000,52847,342117
12-31-1963,22300,22100,4270,27000,32687,266011
01-31-1964,18500,20500,5455,19000,26238,267885
02-29-1964,19400,20100,7546,20000,29583,262479
03-31-1964,22000,25200,18200,28000,41507,343862
04-30-1964,50300,69400,65573,55000,131737,649129
05-31-1964,219668,280568,201964,133000,312937,2354779
06-30-1964,229819,274719,97635,353200,532497,2984535
07-31-1964,118508,127208,46303,345300,450539,1729449
08-31-1964,85857,86657,78526,101600,141532,915192
09-30-1964,36393,37693,23790,45700,56879,366401
10-31-1964,24730,28630,14928,29000,29297,301361
11-30-1964,29800,32000,13678,34000,28918,325117
12-31-1964,27900,30500,15838,34000,38965,363397
01-31-1965,28000,30900,23008,36000,38964,379725
02-28-1965,22300,24700,23391,29000,57864,369167
03-31-1965,28800,30800,40940,33000,62862,443493
04-30-1965,92500,118500,254733,116000,192824,1400634
05-31-1965,265994,331394,363431,195000,395811,3392487
06-30-1965,452955,527455,452076,605500,1016379,5596742
07-31-1965,339898,381498,272375,475700,675320,3793601
08-31-1965,148244,155444,69368,198300,290475,1623391
09-30-1965,86500,91600,61778,103900,129292,877286
10-31-1965,56900,67990,49420,99000,120497,875445
11-30-1965,45100,50230,31873,72000,77856,570571
12-31-1965,40300,42400,35963,53000,46664,552485
01-31-1966,33900,37450,24490,53000,48342,455182
02-28-1966,31200,32460,21491,42000,41523,395360
03-31-1966,47000,54480,161149,46000,109330,981129
04-30-1966,88800,113920,191563,108000,191877,1333026
05-31-1966,196005,244245,312191,147000,266111,2523296
06-30-1966,167164,181364,173049,176300,244505,1934274
07-31-1966,94089,96659,59750,141500,193163,1053979
08-31-1966,60256,57916,35946,82100,95535,589839
09-30-1966,20827,21977,10169,49700,51469,357643
10-31-1966,28750,33370,7423,36400,46068,335665
11-30-1966,28100,32010,13073,38000,40665,349297
12-31-1966,27700,32930,35080,33000,26993,371154
01-31-1967,22200,28150,11312,30000,23316,289340
02-28-1967,21100,25290,20758,31000,33317,307306
03-31-1967,41100,46850,53957,44000,78583,576121
04-30-1967,52700,57730,52015,72000,100444,604735
05-31-1967,159123,176603,151551,145000,248982,1690771
06-30-1967,214610,228600,154660,481200,705391,3628249
07-31-1967,111159,111339,73126,465700,607661,2187199
08-31-1967,62238,62838,88042,133700,177223,951241
09-30-1967,41453,45003,44463,63500,72300,517396
10-31-1967,27667,30347,12287,54800,48931,351908
11-30-1967,27500,31600,9792,45000,41917,327692
12-31-1967,19100,26860,9204,37000,27859,238872
01-31-1968,19500,31330,11965,35000,26603,313145
02-29-1968,20400,30250,17488,31000,42854,337745
03-31-1968,26700,39900,34079,43000,80632,517660
04-30-1968,44500,54870,74065,70000,114440,639473
05-31-1968,180618,230768,220254,90000,162780,2123875
06-30-1968,358035,424015,334514,404700,644241,5021980
07-31-1968,126855,132435,84812,224500,300602,1742269
08-31-1968,137585,145205,140408,170700,189556,1468908
09-30-1968,33970,37410,12210,104700,107595,424710
10-31-1968,31614,39564,10402,73000,74390,443620
11-30-1968,24900,36780,13850,47000,48455,385800
12-31-1968,14400,31390,8327,40000,30375,320747
01-31-1969,16500,35150,23089,34000,28637,391523
02-28-1969,18500,27500,17251,21000,27690,352823
03-31-1969,13900,32540,47295,37000,93810,571807
04-30-1969,118326,155376,210018,176000,299571,1972984
05-31-1969,278091,334831,320851,291400,453410,3869865
06-30-1969,229834,256474,244222,300200,425742,3004303
07-31-1969,167313,185223,155227,200500,268269,2035789
08-31-1969,83801,95551,68445,113800,145876,892706
09-30-1969,38236,48446,68308,42500,43427,607745
10-31-1969,66107,82057,71638,39000,8685,675186
11-30-1969,29300,48170,43028,32000,36083,513856
12-31-1969,22100,36530,28412,25000,15989,383572
01-31-1970,19100,36340,16254,23000,34406,382737
02-28-1970,15000,29490,16630,26000,38658,361005
03-31-1970,24900,40720,22937,29000,54227,447329
04-30-1970,70900,92470,51961,40000,87053,615374
05-31-1970,455608,564138,238445,118600,233059,3630445
06-30-1970,330145,410585,165545,339200,554476,4189472
07-31-1970,164768,192118,72075,190800,271925,2096715
08-31-1970,96482,112992,50281,76300,105922,917019
09-30-1970,110412,130572,218651,42100,64806,1131553
10-31-1970,56583,76863,39574,37000,91207,649771
11-30-1970,39000,58500,27562,39000,54460,515681
12-31-1970,23200,46550,14883,28000,31347,407035
01-31-1971,33937,49477,27155,32361,69106,492528
02-28-1971,28638,50254,36112,32976,68269,493631
03-31-1971,55334,83546,54102,46842,108485,610939
04-30-1971,109721,144042,95124,90333,207844,1348676
05-31-1971,161512,214393,111334,269641,493775,2485956
06-30-1971,298990,364332,138734,644131,887275,4456478
07-31-1971,146125,169864,35287,326265,438496,2247437
08-31-1971,77250,84472,27663,147885,190550,955058
09-30-1971,52530,61312,12511,76989,93233,690356
10-31-1971,42531,50947,51288,63846,90899,661425
11-30-1971,37217,47613,34911,50618,77322,550317
12-31-1971,31289,43008,35492,36154,50651,479069
01-31-1972,29253,42189,27969,38851,63413,503244
02-29-1972,23312,39449,31286,41083,80243,468726
03-31-1972,54706,68185,71733,88605,191888,823089
04-30-1972,68136,84018,84991,121742,220010,827861
05-31-1972,153701,178352,129595,312234,472209,1964180
06-30-1972,225963,255239,94214,776586,1021617,3826860
07-31-1972,65904,71918,7390,285195,357829,1236754
08-31-1972,40650,41702,3749,150603,192540,709418
09-30-1972,31475,37845,14958,82700,101200,585772
10-31-1972,42982,51212,176348,66924,91074,1119913
11-30-1972,32609,42903,67026,51547,73691,670469
12-31-1972,30211,38308,39701,39509,60518,455394
01-31-1973,24263,31528,36288,36094,64897,442469
02-28-1973,21177,26171,40286,29750,59585,462415
03-31-1973,29124,37600,115622,36735,95391,852581
04-30-1973,44513,62833,231403,97474,262615,1364516
05-31-1973,228625,307807,544793,210173,426549,4459046
06-30-1973,345966,438839,513443,260919,418717,4948909
07-31-1973,190003,223017,219936,184722,331041,2925435
08-31-1973,77587,88254,55819,107130,177202,1048535
09-30-1973,37252,41850,43953,84931,148867,694581
10-31-1973,27654,32960,32052,51088,75100,468110
11-30-1973,22493,34212,24733,52088,72760,517512
12-31-1973,25007,36258,23671,37356,55072,440366
01-31-1974,27608,41537,24542,35445,52994,462022
02-28-1974,21022,36156,18272,33295,56512,405270
03-31-1974,38903,58791,67316,61075,148111,789041
04-30-1974,67086,92840,72828,107612,185423,943226
05-31-1974,248648,324024,161127,240649,427835,3365644
06-30-1974,188481,236573,58919,533439,674883,3379006
07-31-1974,74097,83465,34591,252063,320724,1591696
08-31-1974,52169,54749,21638,119932,152486,763938
09-30-1974,17701,17648,1859,48803,61781,389126
10-31-1974,24105,29670,25820,35457,45103,417466
11-30-1974,27511,39270,25350,34604,42298,509247
12-31-1974,21868,34790,12071,21210,22318,345153
01-31-1975,23345,34798,12265,24599,38474,428239
02-28-1975,19611,26891,15086,25586,41359,376537
03-31-1975,25023,34726,68559,38766,75478,626462
04-30-1975,56284,74016,205113,59997,100360,875310
05-31-1975,198083,258960,389502,149898,299008,2723123
06-30-1975,360474,438170,480550,347420,623628,5051904
07-31-1975,264663,314894,259464,499640,727742,4055375
08-31-1975,84659,92547,33413,138695,193357,1074103
09-30-1975,32697,35585,30041,57290,78068,551744
10-31-1975,25916,33087,8739,48620,62442,411021
11-30-1975,29228,35829,17945,44255,53049,448760
12-31-1975,25455,35005,21097,44341,55631,424498
01-31-1976,24668,39566,19218,31335,44475,398290
02-29-1976,21588,36238,32549,30214,59000,474438
03-31-1976,27443,38887,52213,38804,95316,550019
04-30-1976,68564,84267,104105,131683,199768,848771
05-31-1976,159319,193334,253788,330768,459895,2446752
06-30-1976,193826,222295,209294,401719,493770,2835958
07-31-1976,77740,84319,32574,261087,297327,1342352
08-31-1976,57843,62917,17463,148343,188992,778842
09-30-1976,31618,32363,31328,63571,88504,507722
10-31-1976,30158,36518,25505,45464,54149,445702
11-30-1976,22275,30609,11244,36487,39667,373209
12-31-1976,15201,24372,11463,27562,28291,281534
01-31-1977,12804,22716,13899,25627,28705,323375
02-28-1977,16112,20777,12287,22813,38680,291707
03-31-1977,19973,22613,14867,31764,51267,276473
04-30-1977,43655,53776,29762,47123,82824,367463
05-31-1977,49967,60673,34057,23571,50651,631570
06-30-1977,58687,67330,18937,108811,131703,975157
07-31-1977,30568,35997,23040,68011,102825,683523
08-31-1977,28103,31930,40272,56217,87943,590807
09-30-1977,17063,20954,18397,38150,50553,380881
10-31-1977,20718,26511,19338,31343,47194,326662
11-30-1977,21690,28018,13843,30672,41556,341836
12-31-1977,20278,25195,7952,32167,35500,315863
01-31-1978,22541,28988,10727,28280,44682,375621
02-28-1978,13908,23097,10214,26070,45125,307540
03-31-1978,30366,41935,63979,48395,104466,615243
04-30-1978,81962,109369,140291,97289,156626,1237984
05-31-1978,191967,248785,226790,187369,305905,2747845
06-30-1978,402551,494320,259145,516667,706446,5036130
07-31-1978,165336,199303,35183,390223,433830,2569275
08-31-1978,55662,61478,-12874,160490,196686,825861
09-30-1978,17965,21009,-10579,73945,93747,426775
10-31-1978,21278,22292,4349,45782,52435,351290
11-30-1978,26308,27063,27582,37825,42074,480893
12-31-1978,23264,25133,20727,33515,32298,403397
01-31-1979,26124,29582,19241,29868,34931,388600
02-28-1979,22120,33856,20788,28210,39772,360071
03-31-1979,25683,40797,117739,41129,91597,748376
04-30-1979,84806,116167,366978,89929,147555,1819789
05-31-1979,278685,345161,548248,199274,290705,4015523
06-30-1979,406005,488095,573735,247404,317920,5256190
07-31-1979,196474,217847,263753,137859,172501,2695162
08-31-1979,79243,84237,50804,106898,149442,1082709
09-30-1979,29227,29604,-8121,47058,62191,433006
10-31-1979,27686,27799,-207,37561,46456,370876
11-30-1979,27783,32917,14893,27700,34399,406702
12-31-1979,25378,32989,21611,25635,38217,360420
01-31-1980,25524,35550,26534,25804,50453,476703
02-29-1980,26030,36643,45217,27037,55221,610714
03-31-1980,27322,37969,63235,31394,98410,643116
04-30-1980,81125,102385,263263,104378,238304,1434190
05-31-1980,284633,339125,380867,321161,531231,4365112
06-30-1980,462033,525446,476085,381122,512577,5379732
07-31-1980,160570,176817,95936,253643,327410,2271497
08-31-1980,57240,60394,9881,98771,135871,750614
09-30-1980,32540,34564,36492,56880,79751,624293
10-31-1980,29377,40313,8213,40865,61125,420105
11-30-1980,28007,37002,25459,37083,53927,480283
12-31-1980,27452,36776,20864,33895,53384,427207
01-31-1981,20354,29395,18739,28640,45035,393898
02-28-1981,18940,26813,16193,26384,43028,321698
03-31-1981,24795,33617,20711,41626,72530,357053
04-30-1981,42744,62918,70443,44052,82139,633870
05-31-1981,68491,87199,110940,76531,148328,1210192
06-30-1981,127624,151105,136019,262688,347383,2348598
07-31-1981,64765,75765,29159,139733,175350,1141866
08-31-1981,41742,50416,4970,62198,84332,521365
09-30-1981,31344,39739,14927,32216,51743,540169
10-31-1981,27764,34265,76251,34629,42863,645603
11-30-1981,26157,32956,34598,30658,41327,463385
12-31-1981,22383,28316,17724,30012,32284,408602
01-31-1982,22886,22531,18373,30597,39234,354920
02-28-1982,18480,26717,22213,27049,54952,322047
03-31-1982,27490,40608,84514,37496,74443,650980
04-30-1982,61567,83764,169031,76585,129574,980163
05-31-1982,195189,247465,291708,252281,371335,3007079
06-30-1982,332030,395545,272699,438249,553440,4262949
07-31-1982,172803,198617,74421,515234,610958,3000194
08-31-1982,109847,122314,70500,236605,296203,1551429
09-30-1982,81678,95407,120370,97649,137357,1081031
10-31-1982,53499,68888,63918,129084,174339,1000709
11-30-1982,36359,46851,38048,61251,86962,726036
12-31-1982,27634,38120,42771,46613,63878,614837
01-31-1983,27190,36363,36051,42542,64799,392003
02-28-1983,23881,32312,38060,35025,57138,459791
03-31-1983,30764,42380,106962,63264,141023,889091
04-30-1983,42804,62098,164146,116260,239440,1113890
05-31-1983,170625,256675,299938,237125,471304,3523495
06-30-1983,452575,604741,408450,556844,1039918,7585898
07-31-1983,248386,327719,149878,412371,610651,5108558
08-31-1983,120970,155511,53395,201248,319421,2153961
09-30-1983,46648,58423,5494,117223,190132,883350
10-31-1983,35841,44409,67819,102248,153772,974108
11-30-1983,31647,38643,29408,69978,115328,714894
12-31-1983,35115,48070,34687,53350,93370,659304
01-31-1984,29058,42558,29835,49269,88576,407556
02-29-1984,21819,40865,30961,39910,79778,507224
03-31-1984,23489,52296,100358,50527,143615,860027
04-30-1984,74349,120988,150036,109571,242562,1462088
05-31-1984,576987,798716,414656,254964,586483,6127117
06-30-1984,531933,721569,214704,395281,593929,6586959
07-31-1984,273369,347853,50333,324743,446293,3872568
08-31-1984,138209,167180,53257,173165,269739,1987315
09-30-1984,64917,92816,38046,85065,134413,1117761
10-31-1984,59081,81308,81405,92754,120922,1063412
11-30-1984,41666,54127,45884,63507,86875,835401
12-31-1984,34434,47948,51178,36482,56831,646858
01-31-1985,29432,47508,36866,39547,65804,576344
02-28-1985,24440,44068,43665,32837,57086,501563
03-31-1985,38702,67718,177925,48134,115429,1115185
04-30-1985,138489,199374,376819,160960,298299,2757097
05-31-1985,358002,482272,448613,250701,361934,4873618
06-30-1985,415185,531380,433743,214303,289601,4711886
07-31-1985,159676,188091,107510,158478,212573,2294195
08-31-1985,74575,87468,28156,78417,96452,1105613
09-30-1985,49180,60257,62462,48904,48655,743245
10-31-1985,55512,66135,76067,54507,69875,919008
11-30-1985,40344,54802,49420,46576,57110,745139
12-31-1985,32223,50090,35762,45916,55703,641451
01-31-1986,30994,45619,32952,38159,46027,553202
02-28-1986,30844,46447,55748,45241,99878,750657
03-31-1986,49879,67824,118232,99163,166926,1130869
04-30-1986,119047,143269,246014,180388,273062,2201959
05-31-1986,271716,332181,311666,301187,484027,3881127
06-30-1986,432121,498607,361577,921354,1208367,6044235
07-31-1986,241685,268927,169713,413427,537126,3406408
08-31-1986,96787,107912,36339,199299,276636,1327275
09-30-1986,65000,78642,76317,83248,122280,991990
10-31-1986,58144,75365,132354,73246,115541,1149524
11-30-1986,50478,66100,125479,60262,74023,1001810
12-31-1986,32365,45789,56600,37915,42296,730687
01-31-1987,28184,43650,36161,32545,41787,528169
02-28-1987,28377,43829,62546,33559,50325,623025
03-31-1987,43400,63218,119700,46105,102266,947737
04-30-1987,119837,146068,288951,170149,267776,1912947
05-31-1987,295327,381620,358344,258348,389474,3699898
06-30-1987,295248,348185,385149,237159,334106,3194227
07-31-1987,106979,123985,100142,188391,253224,1530292
08-31-1987,65263,76277,37134,125007,178701,1018206
09-30-1987,39927,48875,12840,87567,116534,631856
10-31-1987,32366,39451,17428,40834,64169,493597
11-30-1987,28492,43187,43292,39713,44431,633343
12-31-1987,24877,38941,20063,30078,36590,432221
01-31-1988,24749,38486,17962,25735,32365,358154
02-29-1988,22664,36448,26622,25632,42000,414038
03-31-1988,32150,51227,66260,39966,97960,725093
04-30-1988,61366,86483,113098,72381,148792,1082036
05-31-1988,111071,148870,161394,136796,248466,2051687
06-30-1988,179640,219073,151401,221660,313609,2756733
07-31-1988,73944,90566,26156,133315,198415,1442325
08-31-1988,52110,65439,66381,87223,134535,849322
09-30-1988,33348,43471,38248,30911,57489,570133
10-31-1988,27305,42277,16793,24244,37743,470778
11-30-1988,25894,32965,19605,27790,24076,375179
12-31-1988,19826,25979,18366,22039,27280,345199
01-31-1989,23785,27402,19685,22999,31455,332567
02-28-1989,21815,26431,30132,21544,34329,371467
03-31-1989,42405,54168,135191,49486,110707,863095
04-30-1989,98847,130419,185522,68081,117721,1215833
05-31-1989,148192,181502,164104,109490,167360,1750009
06-30-1989,156796,178345,83074,259656,322554,1975312
07-31-1989,74096,87587,6756,211239,274864,1190512
08-31-1989,59095,65056,10535,109671,150006,793717
09-30-1989,24298,33324,7080,55663,87171,445165
10-31-1989,26290,40179,23322,35420,48784,375644
11-30-1989,20978,24430,10462,37486,52615,404076
12-31-1989,17269,23027,7252,29097,33275,297445
01-31-1990,18438,23016,8680,26093,36735,282268
02-28-1990,15926,20713,11047,24348,41943,285627
03-31-1990,24727,33311,25175,46437,82307,409161
04-30-1990,39132,54673,79727,83724,121942,632535
05-31-1990,99684,127654,191979,82273,135901,1298529
06-30-1990,194917,229447,187627,275678,362621,2646256
07-31-1990,78513,92085,51936,219727,284660,1405410
08-31-1990,47328,55657,21207,118430,155808,712045
09-30-1990,28296,38455,35376,63078,93078,534728
10-31-1990,40706,53056,60468,39906,47692,585495
11-30-1990,36556,41379,41488,41952,52003,456247
12-31-1990,23842,26669,21887,28128,28132,304643
01-31-1991,21655,29044,22110,25525,43675,305997
02-28-1991,20220,28165,28348,22344,45515,390740
03-31-1991,33164,43048,58459,41504,73114,492366
04-30-1991,71499,90813,187228,69567,104524,867629
05-31-1991,207799,286113,245880,150117,224066,2194282
06-30-1991,244558,324470,168883,395035,591878,3412286
07-31-1991,109211,144659,16873,186893,254629,1547301
08-31-1991,60832,94555,20090,122925,192621,950721
09-30-1991,35888,66221,67362,74295,107557,791643
10-31-1991,20644,35823,6612,41457,56088,357490
11-30-1991,30246,42632,35226,45284,82998,575284
12-31-1991,20488,32075,32535,26370,38982,359173
01-31-1992,17693,25641,21451,21740,58580,333686
02-29-1992,20152,30383,36658,21803,64641,428942
03-31-1992,28726,41824,82916,62783,117065,610846
04-30-1992,68152,98016,206624,42505,100228,1137081
05-31-1992,163002,228352,295973,127251,205366,2254472
06-30-1992,169727,218229,186513,115366,162971,2121663
07-31-1992,98131,116127,47886,127364,173788,1331227
08-31-1992,64873,75596,35918,100058,144252,876357
09-30-1992,42906,50923,23100,50341,70663,618244
10-31-1992,30050,31319,7291,26059,32879,385955
11-30-1992,24732,32459,18592,28200,40768,463558
12-31-1992,22327,29989,20739,24808,25781,321231
01-31-1993,25589,34113,28947,23890,40765,427691
02-28-1993,25401,35235,36522,17735,35963,412547
03-31-1993,34956,54805,177875,45965,138469,872382
04-30-1993,77968,112209,244105,65419,115290,1325458
05-31-1993,353198,469374,432079,230625,400386,4424540
06-30-1993,404500,492639,325041,340330,470591,5029360
07-31-1993,180542,213365,57287,210300,266335,2541697
08-31-1993,82615,99042,49552,219954,262701,1178122
09-30-1993,50982,62567,41930,75567,105687,758351
10-31-1993,40001,41708,21783,47544,72922,565910
11-30-1993,28424,36765,22802,30576,42231,473153
12-31-1993,24564,34854,16699,25618,41425,409876
01-31-1994,24604,33229,16036,22410,47067,395722
02-28-1994,22586,28526,25676,17116,45619,360389
03-31-1994,37000,48431,97083,47987,92878,683049
04-30-1994,72212,89354,141743,66408,111590,840322
05-31-1994,201012,252315,279831,194985,271651,2294716
06-30-1994,212152,252945,217239,170899,227615,2454675
07-31-1994,59980,72139,-6273,116579,171727,1022787
08-31-1994,43786,52640,-18049,96487,147575,649736
09-30-1994,31835,40438,20226,53156,76947,510447
10-31-1994,41236,46014,33290,33051,56997,533075
11-30-1994,29030,35668,46537,26834,34142,460343
12-31-1994,27158,34007,32410,26314,34457,395307
01-31-1995,23203,29867,25661,20186,35405,369565
02-28-1995,24168,29151,59745,27304,64844,456771
03-31-1995,45862,51115,192821,72614,130342,877741
04-30-1995,53650,75262,128776,52276,98358,743112
05-31-1995,196076,280421,229131,85499,180090,2267572
06-30-1995,589803,727214,451397,459779,690285,6349394
07-31-1995,419926,496709,225797,482909,665638,5277562
08-31-1995,152801,181549,19067,165214,235813,1700064
09-30-1995,64871,78006,9,75598,103911,724925
10-31-1995,45437,55184,17457,43809,63559,653486
11-30-1995,40749,49356,15627,47546,70358,550145
12-31-1995,30633,39938,13172,26752,49091,464710
01-31-1996,29842,37005,13407,19428,42688,432188
02-29-1996,32302,35689,20124,26186,62977,510798
03-31-1996,39442,51315,22275,50440,99228,550410
04-30-1996,111511,149547,57363,95061,159875,1109289
05-31-1996,364497,446510,132857,205368,328045,3370352
06-30-1996,282567,329091,3281,560765,715579,3617391
07-31-1996,110012,123206,-6234,322152,421553,2007827
08-31-1996,52697,52588,-28455,112039,170166,733205
09-30-1996,31752,35495,7383,45760,73004,524984
10-31-1996,44174,50278,22853,42844,65915,575780
